accuracy,macro_f1,wall_clock_sec,peak_memory_mb,checkpoint_size_mb,trainable_params,total_params,trainable_pct,method,rank,alpha_mode
0.8736560940742493,0.8139706968167222,3416.7204761505127,4847.55908203125,475.52396869659424,124649477,124649477,100.0,full_finetune,,
0.8409966826438904,0.7764205589538754,289.662615776062,3052.62548828125,2.848198890686035,741893,124796933,0.5944801544121281,lora,4.0,alpha_over_r
0.8317330479621887,0.7671656146273304,293.93711590766907,3052.62548828125,2.848536491394043,741893,124796933,0.5944801544121281,lora,4.0,alpha_over_sqrt_r
0.8452904224395752,0.7828750515226757,293.4256353378296,3056.09423828125,3.410698890686035,889349,124944389,0.7117958694407638,lora,8.0,alpha_over_r
0.8013388514518738,0.7257364038796037,293.1448528766632,3056.09423828125,3.411036491394043,889349,124944389,0.7117958694407638,lora,8.0,alpha_over_sqrt_r
0.844140887260437,0.7811921790798292,293.7735056877136,3063.03173828125,4.535754203796387,1184261,125239301,0.9455985385929294,lora,16.0,alpha_over_r
0.3341672718524933,0.10018752217322995,292.50620555877686,3063.03173828125,4.5360918045043945,1184261,125239301,0.9455985385929294,lora,16.0,alpha_over_sqrt_r
0.8404557704925537,0.7754817262605065,294.5825705528259,3076.90673828125,6.785754203796387,1774085,125829125,1.4099160269929558,lora,32.0,alpha_over_r
0.3341672718524933,0.10018752217322995,292.78863286972046,3076.90673828125,6.7860918045043945,1774085,125829125,1.4099160269929558,lora,32.0,alpha_over_sqrt_r
0.8209480047225952,0.7521378399092233,295.84769225120544,3104.65673828125,11.285754203796387,2953733,127008773,2.325613365306663,lora,64.0,alpha_over_r
0.3341672718524933,0.10018752217322995,294.61325573921204,3104.65673828125,11.286091804504395,2953733,127008773,2.325613365306663,lora,64.0,alpha_over_sqrt_r
